petal.length,sepal.length
1,5
1,4
1,4
1,4
1,5
1,5
1,4
1,5
1,4
1,4
1,5
1,4
1,4
1,4
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,4
1,5
1,4
1,5
1,5
1,5
1,5
1,4
1,4
1,5
1,5
1,5
1,4
1,5
1,5
1,4
1,4
1,5
1,5
1,4
1,4
1,5
1,5
1,4
1,5
1,4
1,5
1,5
4,7
4,6
4,6
4,5
4,6
4,5
4,6
3,4
4,6
3,5
3,5
4,5
4,6
4,6
3,5
4,6
4,5
4,5
4,6
3,5
4,5
4,6
4,6
4,6
4,6
4,6
4,6
5,6
4,6
3,5
3,5
3,5
3,5
5,6
4,5
4,6
4,6
4,6
4,5
4,5
4,5
4,6
4,5
3,5
4,5
4,5
4,5
4,6
3,5
4,5
6,6
5,5
5,7
5,6
5,6
6,7
4,4
6,7
5,6
6,7
5,6
5,6
5,6
5,5
5,5
5,6
5,6
6,7
6,7
5,6
5,6
4,5
6,7
4,6
5,6
6,7
4,6
4,6
5,6
5,7
6,7
6,7
5,6
5,6
5,6
6,7
5,6
5,6
4,6
5,6
5,6
5,6
5,5
5,6
5,6
5,6
5,6
5,6
5,6
5,5
